Lead Name,Website,Website Available,Phone,Lead Score,Priority,Source,Location,Industry,Recommended Services
Rashtriya stainless steel,http://rashtriyasteel.in/,Yes,+91 93130 37033,40,Medium,SerpAPI,"Jindal House, 1/9-B, Asaf Ali Rd, near Punjab National Bank, Old Delhi, Kucha Tiku Shah, Chandni Chowk, New Delhi, Delhi, 110006, India",steel companies,"Security (SSL / HTTPS), Broken / Dead Links, Content Freshness"
KND Steel Corporation LLP,https://www.kndsteel.com/,Yes,+91 98182 23471,18,Low,SerpAPI,"Z-9, KND Steel Corporation LLP, Loha Mandi, Block Z, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi, 110028, India",steel companies,UI / UX
Jindal Steel Company,,No,+91 98681 02976,100,Highest,SerpAPI,"Y-16, Loha Mandi, Loha Mandi, Block Y, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi, 110028, India",steel companies,"Security (SSL / HTTPS), SEO Structure, Mobile Accessibility, UI / UX, Broken / Dead Links, Content Freshness"
RR STEEL INDUSTRY,https://www.rrsi.co.in/,Yes,+91 98103 64141,55,Medium,SerpAPI,"North, 505, KLJ TOWER, Netaji Subhash Place, Pitampura, New Delhi, Delhi, 110034, India",steel companies,"SEO Structure, UI / UX, Broken / Dead Links, Content Freshness"
Sagar Steel Industries,http://www.sagarsteelindustries.com/,Yes,+91 80 4763 1323,10,Low,SerpAPI,"A-18, Block A, Wazirpur Industrial Area, Ashok Vihar, New Delhi, Delhi, 110052, India",steel companies,Broken / Dead Links
JNB STEEL INDUSTRIES PVT. LTD.,http://www.jnbsteel.com/,Yes,+91 99106 10399,40,Medium,SerpAPI,"A-48, Second Floor, Block A, Wazirpur Industrial Area, Ashok Vihar, Delhi, 110052, India",steel companies,"SEO Structure, UI / UX"
Shree Mahalaxmi Steel Industries,http://www.shreemahalaxmisteel.com/,Yes,+91 98104 66777,10,Low,SerpAPI,"Kh. No. 76, Ranholla, Industrial Area, Nangloi, Delhi, 110041, India",steel companies,Broken / Dead Links
Shiv Ganga Metal,http://shivgangametal.com/,Yes,+91 95600 72200,52,Medium,SerpAPI,"4278, Gali Shatara, Ajmere Gate Rd, Gali Sakko Wali, Chawri Bazar, Chandni Chowk, Delhi, New Delhi, Delhi 110006, India",steel companies,"SEO Structure, Mobile Accessibility, Broken / Dead Links"
SKS STEEL INDUSTRIES,,No,+91 96540 48861,100,Highest,SerpAPI,"B-4/29 PASCHIM VIHAR NEW DELHI -63, New Delhi, Delhi 110063, India",steel companies,"Security (SSL / HTTPS), SEO Structure, Mobile Accessibility, UI / UX, Broken / Dead Links, Content Freshness"
Avtar Steel Limited - Head Office,http://www.avtarsteel.com/,Yes,+91 11 6606 6666,32,Medium,SerpAPI,"15th Floor, Aggarwal Corporate Heights, Netaji Subhash Place, Pitampura, Delhi, 110034, India",steel companies,"SEO Structure, Broken / Dead Links"
Bakshi Steel Industries,,No,+91 98111 43816,100,Highest,SerpAPI,"WZ-77/1&2(D-1 Jail Road Fateh Nagar, near gurudwara baba joraver singh ji, Tilak Nagar, Delhi, 110058, India",steel companies,"Security (SSL / HTTPS), SEO Structure, Mobile Accessibility, UI / UX, Broken / Dead Links, Content Freshness"
"Hrihaan Steel Industries - Stainless Steel SS Pipes, SS Tubes Manufacturer & Suppliers in Delhi",http://www.hrihaansteels.com/,Yes,+91 80765 38988,32,Medium,SerpAPI,,steel companies,"SEO Structure, Broken / Dead Links"
Giriraj Steel Traders,http://www.girirajsteel.in/,Yes,+91 99994 08508,20,Low,SerpAPI,"AD Block, Block AD, Dakshini Pitampura, Pitampura, New Delhi, Delhi, 110034, India",steel companies,Mobile Accessibility
JAIN STEELS CORPORATION,https://www.jainsteel.com/,Yes,+91 98218 84922,27,Low,SerpAPI,"Shop no, 700, Gali Kundewalan, Old Delhi, Kucha Tiku Shah, Ajmeri Gate, Delhi, 110006, India",steel companies,"SEO Structure, Content Freshness"
Punjab Stainless Steel Industries,http://www.punjabsteels.com/,Yes,+91 11 4702 2780,42,Medium,SerpAPI,"B-61, Wazirpur Industrial Area Rd, Pocket C 3, Phase 2, Wazirpur, Delhi, 110052, India",steel companies,"SEO Structure, Mobile Accessibility"
BHARAT STEEL FABRICATION,https://bharatsteelfabricationservices.com/,Yes,+91 97117 27223,32,Medium,SerpAPI,"Kanjhawala road Rama vihar Rohini Sector 39, Kanjhawala Rd, Rama Vihar, Delhi, 110081, India",steel companies,"SEO Structure, Broken / Dead Links"
Maha Shakti Steel,,No,+91 92106 43385,100,Highest,SerpAPI,"A-10, Mubarak Pur Dabas Rd, near Sukhi Nahar, Kirari Suleman Nagar, Delhi, 110086, India",steel companies,"Security (SSL / HTTPS), SEO Structure, Mobile Accessibility, UI / UX, Broken / Dead Links, Content Freshness"
Technomond Steel Industries,https://technomond.in/,Yes,+91 98990 16380,37,Medium,SerpAPI,"Ranhola - Mundka Rd, Mundka Village, Mundka, New Delhi, Delhi, 110041, India",steel companies,"SEO Structure, Broken / Dead Links, Content Freshness"
"Ankur steel ( D3, en31, p-20, Db6, Ramax",,No,,100,Highest,SerpAPI,,steel companies,"Security (SSL / HTTPS), SEO Structure, Mobile Accessibility, UI / UX, Broken / Dead Links, Content Freshness"
KAMLA STEEL TRADERS,https://www.indiamart.com/kamla-steel-traders/,Yes,+91 70658 62936,20,Low,SerpAPI,"KH NO 74, PLOT NO 10/1, in front of METRO PILLAR NO 459, Mubarkpur, Rajdhani Park, Nangloi, Delhi, 110041, India",steel companies,Mobile Accessibility
JAIN STEELS CORPORATION,https://www.jainsteel.com/,Yes,+91 98218 84922,27,Low,SerpAPI,"Shop no, 700, Gali Kundewalan, Old Delhi, Kucha Tiku Shah, Ajmeri Gate, Delhi, 110006, India",steel companies,"SEO Structure, Content Freshness"
Technomond Steel Industries,https://technomond.in/,Yes,+91 98990 16380,37,Medium,SerpAPI,"Ranhola - Mundka Rd, Mundka Village, Mundka, New Delhi, Delhi, 110041, India",steel companies,"SEO Structure, Broken / Dead Links, Content Freshness"
Gopal Group of Industries,https://www.laxconsteels.com/,Yes,+91 11 4295 2500,20,Low,SerpAPI,"C-55/2, Wazirpur Industrial Area Rd, Block B, Wazirpur Industrial Area, Ashok Vihar, Delhi, 110052, India",steel companies,Mobile Accessibility
Bansal Steel Industries,http://www.bansalsteel.in/,Yes,+91 98100 88884,52,Medium,SerpAPI,"Block A, Wazirpur Industrial Area, Ashok Vihar, Delhi, 110052, India",steel companies,"Security (SSL / HTTPS), SEO Structure, Content Freshness"
Apollo Tube And Steel Industries Limited,,No,,100,Highest,SerpAPI,"17, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India",steel companies,"Security (SSL / HTTPS), SEO Structure, Mobile Accessibility, UI / UX, Broken / Dead Links, Content Freshness"
Sanghvi Steel Corporation,https://qliqo.in/Sanghvi-Steel-Corporation-,Yes,+91 98195 77547,32,Medium,SerpAPI,"749, Kundewalan street , Ajmeri Gate, Ajmeri Gate, New Delhi, Delhi 110006, India",steel companies,"SEO Structure, Broken / Dead Links"
Durga Steel Company Pvt. Ltd.,,No,+91 80106 87668,100,Highest,SerpAPI,"A-42, Main, Kanjhawala Rd, Budh Vihar Phase I, Budh Vihar, New Delhi, Delhi, 110086, India",steel companies,"Security (SSL / HTTPS), SEO Structure, Mobile Accessibility, UI / UX, Broken / Dead Links, Content Freshness"
Adequate Steel Fabricators,https://www.adequatesteel.com/,Yes,+91 98100 14985,10,Low,SerpAPI,"2015, Bank St, Block 47, Beadonpura, Karol Bagh, New Delhi, Delhi, 110005, India",steel companies,Broken / Dead Links
STEELCO ENGINEERING COMPANY,http://www.steelcoengineering.com/,Yes,+91 80 4580 0842,57,Medium,SerpAPI,"Khasra No. 94/13, Jindpur, Road, Zindpur Village, Delhi, 110036, India",steel companies,"Security (SSL / HTTPS), SEO Structure, Broken / Dead Links"
Esha Enterprises,,No,+91 96547 88747,100,Highest,SerpAPI,"A-96/1, Block A, Wazirpur Industrial Area, Ashok Vihar, Delhi, 110052, India",steel companies,"Security (SSL / HTTPS), SEO Structure, Mobile Accessibility, UI / UX, Broken / Dead Links, Content Freshness"
Aggarwal Iron & Sheet Traders,,No,+91 98105 53439,100,Highest,SerpAPI,"Plot No 12, Gali No 3, Railway Line Rd, Side, Anand Parbat, New Delhi, Delhi 110015, India",steel companies,"Security (SSL / HTTPS), SEO Structure, Mobile Accessibility, UI / UX, Broken / Dead Links, Content Freshness"
Indoo Steel Fabrication,http://www.indoosteelfabrication.in/,Yes,+91 92131 21261,27,Low,SerpAPI,"Sarai Khawaja Rd, Sarai Khawaja Village, Sector 37, Faridabad, Haryana 121003, India",steel companies,"SEO Structure, Content Freshness"
Jai Ganesh Steel Co.,http://www.jaiganeshsteel.com/,Yes,+91 11 4587 2912,27,Low,SerpAPI,"B-40, Block B, Mayapuri Industrial Area Phase I, Mayapuri, New Delhi, Delhi, 110064, India",steel companies,"SEO Structure, Content Freshness"
AMP STEELS,https://www.ampsteels.com/,Yes,+91 99999 25050,0,Low,SerpAPI,"Y-159, Ground Floor, West, Loha Mandi, Loha Mandi, Block Y, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi 110028, India",steel companies,None Identified
A.S STEEL INDUSTRIES,http://assteel.co.in/,Yes,+91 70653 83936,5,Low,SerpAPI,"A-33/9, vishwakarma Compound, Sahibabad Industrial Area Site 4, Sahibabad, Ghaziabad, Uttar Pradesh 201010, India",steel companies,Content Freshness
Surya King Foundry,,No,+91 98114 76570,100,Highest,SerpAPI,"Mange Ram Park, Block B, Mage Ram Park, Budh Vihar, New Delhi, Delhi, 110085, India",steel companies,"Security (SSL / HTTPS), SEO Structure, Mobile Accessibility, UI / UX, Broken / Dead Links, Content Freshness"
Exotica Steel India | GSP Triply Cookware Manufacturer,https://www.gsphouseware.com/,Yes,+91 80 4531 7717,20,Low,SerpAPI,"O- 268, DSIIDC Industrial Area, Sector- 01, Bawana, New delhi, Delhi, 110039, India",steel companies,Mobile Accessibility
Sheela Stainless Pvt. Ltd.,http://www.pssrgroup.com/,Yes,+91 99115 74305,10,Low,SerpAPI,"28, Ground floor, Dump Scheme, Rani Jhansi Rd, Motia Khan, New Delhi, Delhi 110055, India",steel companies,Broken / Dead Links
Simco Steel Products | Storage Racks Manufacturer in Delhi,https://simcosteel.in/,Yes,+91 99993 12103,0,Low,SerpAPI,"Y-9/3 3rd Floor, Y- Block Rd, Loha Mandi, Naraina, New Delhi, Delhi 110028, India",steel companies,None Identified
Steel Trading Corporation,https://www.steeltradingcorporation.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=3815154370177982284,Yes,+91 98114 88511,0,Low,SerpAPI,"Z/30, Loha Mandi, Block G, Naraina Vihar, Naraina, New Delhi, Delhi 110028, India",steel companies,None Identified
UNICON BUILDING SYSTEMS PVT. LTD.,http://uniconbuildingsystems.in/,Yes,+91 96500 08152,65,High,SerpAPI,"C 7 / 86 1st Floor, Sector 8, Rohini, New Delhi, Delhi 110085, India",steel companies,"Security (SSL / HTTPS), SEO Structure, UI / UX"
Asahi Ropes Private Limited,http://www.asahiropes.in/,Yes,+91 73034 26611,5,Low,SerpAPI,"902, KLJ TOWER, North, Netaji Subhash Place, Pitampura, Delhi, 110034, India",steel companies,Content Freshness
Metro TMT Saria And TMT Bars,http://metro-corp.in/,Yes,+91 99112 69666,27,Low,SerpAPI,"307, Pitampura Rd, Block KD, Dakshini Pitampura, Pitampura, Delhi, 110034, India",steel companies,"SEO Structure, Content Freshness"
Tata Steel Limited,https://www.tatasteel.com/,Yes,+91 11 2576 7793,18,Low,SerpAPI,"307/308, Vikram Tower, Rajendra Place, Pusa Road, New Delhi, Delhi 110005, India",steel companies,UI / UX
